"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR001940 Peptidase S1C;",1,2,1,5,1,2,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR001940 Peptidase S1C;IPR011782 Peptidase S1C, Do;",1,1,1,4,2,1,3,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR001948 Peptidase M18;",1,NA,NA,2,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR002169 Peptidase M9A/M9B, collagenase, bacterial;",2,4,NA,NA,NA,3,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR002410 Peptidase S33;",1,1,1,1,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR002470 Peptidase S9A, prolyl oligopeptidase;",1,1,1,6,3,3,3,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR002510 Metalloprotease TldD/PmbA;",1,NA,NA,2,NA,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR003675 CAAX prenyl protease 2;IPR042150 CAAX prenyl protease 2, MmRce1-like;",1,NA,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR004387 Peptidase M50, putative membrane-associated zinc metallopeptidase;",1,NA,NA,NA,3,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR005081 Sigma-E processing peptidase SpoIIGA;",1,NA,NA,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR005314 Peptidase C50, separase;",1,NA,NA,1,NA,1,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR008257 Peptidase M19;",1,NA,2,1,2,3,3,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR011356 Peptidase M17, leucine aminopeptidase/peptidase B;",1,3,6,2,1,4,NA,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR018044 Peptidase S11, D-alanyl-D-alanine carboxypeptidase A;",4,1,NA,NA,1,NA,2,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR027057 CAAX prenyl protease 1;",1,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR034702 Large tegument protein deneddylase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0008233 peptidase activity;IPR039245 Peroxisomal/glyoxysomal leader peptide-processing protease;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR001952 Alkaline phosphatase;",1,NA,NA,2,2,1,1,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR006384 Pyridoxal phosphate phosphatase-related;",1,NA,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR006384 Pyridoxal phosphate phosphatase-related;IPR016965 Phosphatase PHOSPHO-type;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR015655 Protein phosphatase 2C family;",3,10,6,6,5,7,6,8,7
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR021766 Phosphate regulon sensor protein PhoR;",2,NA,NA,NA,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR024927 Purple acid phosphatase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR030048 Survival protein SurE;",1,1,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0016791 phosphatase activity;IPR039189 CTD phosphatase Fcp1;",1,NA,NA,1,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000067 Flagellar M-ring protein FliF;",1,1,NA,1,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000090 Flagellar motor switch protein FliG;",1,NA,NA,2,NA,2,2,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000212 DNA helicase, UvrD/REP type;",22,23,35,8,3,13,9,45,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000212 DNA helicase, UvrD/REP type;IPR004586 RecBCD enzyme subunit RecB;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000212 DNA helicase, UvrD/REP type;IPR005752 ATP-dependent DNA helicase Rep;",1,NA,NA,1,NA,NA,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR000563 Flagellar assembly protein FliH;",1,NA,1,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1,NA,1,3,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR001241 DNA topoisomerase, type IIA;IPR005737 DNA topoisomerase IV, subunit B, Gram-negative;",2,NA,NA,1,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR001806 Small GTPase;",3,1,5,2,2,6,1,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR001806 Small GTPase;IPR003578 Small GTPase Rho;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004548 Peptide chain release factor 3;",1,2,NA,2,1,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004589 DNA helicase, ATP-dependent, RecQ type;IPR006293 DNA helicase, ATP-dependent, RecQ type, bacterial;",1,NA,NA,1,1,NA,2,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004602 UvrABC system subunit A;",4,NA,1,3,4,1,6,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004605 DNA helicase, Holliday junction RuvB-type;",1,NA,1,NA,4,2,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004609 ATP-dependent DNA helicase RecG;",1,1,NA,NA,NA,1,1,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR004881 Ribosome biogenesis GTPase RsgA;",1,NA,2,2,NA,1,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR005714 ATPase, type III secretion system, FliI/YscN;IPR032463 ATPase, type III secretion system, FliI;",1,1,1,1,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1,1,NA,1,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR006345 RecD-like DNA helicase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR007692 DNA helicase, DnaB type;",1,3,NA,1,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR010222 RNA helicase HrpA;",1,1,NA,NA,NA,2,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR010225 ATP-dependent helicase HrpB;",1,NA,NA,4,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR013374 ATPase, type IV, pilus assembly, PilB;",1,NA,2,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR023554 ATP-dependent RNA helicase RhlB type;",1,NA,1,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR023693 ABC transporter, vitamin B12, BtuD;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR027238 RuvB-like;IPR037942 RuvB-like helicase 2;",1,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR027640 Kinesin-like protein;",5,6,1,4,5,3,1,NA,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;GO:0017111 nucleoside-triphosphatase activity;IPR039812 Vesicle-fusing ATPase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR000120 Amidase;",2,NA,2,NA,2,3,8,4,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR000246 Peptidase T2, asparaginase 2;",2,NA,NA,NA,1,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR000322 Glycoside hydrolase family 31;",1,NA,2,4,1,4,2,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR000490 Glycoside hydrolase family 17;",1,3,3,3,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR000743 Glycoside hydrolase, family 28;",3,3,2,4,2,5,3,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR001130 TatD family;IPR015991 Uncharacterised hydrolase TatD-type;",2,NA,1,1,4,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR001360 Glycoside hydrolase family 1;",2,1,5,1,1,5,2,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR001362 Glycoside hydrolase, family 32;",1,NA,1,NA,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR001701 Glycoside hydrolase family 9;",1,NA,NA,NA,1,2,2,2,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR002176 Crossover junction endodeoxyribonuclease RuvC;",1,NA,1,2,3,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR002695 Bifunctional purine biosynthesis protein PurH-like;",1,1,1,1,NA,NA,3,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR002933 Peptidase M20;",2,3,4,3,1,3,3,6,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003187 Phospholipase A1;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003476 Glycoside hydrolase, family 42;",1,NA,2,NA,1,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003697 Nucleoside triphosphate pyrophosphatase Maf-like protein;",1,2,2,1,2,1,7,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003702 Acetyl-CoA hydrolase/transferase;IPR017821 Succinate CoA transferase;",1,NA,1,1,NA,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003732 D-aminoacyl-tRNA deacylase DTD;",1,NA,1,1,2,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003753 Exonuclease VII, large subunit;",1,NA,NA,2,1,1,1,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR003876 Arginine deiminase;",1,NA,NA,1,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004175 RNA 2',3'-cyclic phosphodiesterase;",1,1,1,NA,NA,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004303 Protein-arginine deiminase;",1,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004476 Ribonuclease II/ribonuclease R;IPR011805 Ribonuclease R;",3,NA,1,1,2,1,1,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004722 Dihydroorotase;",1,NA,NA,1,3,2,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004791 UvrABC system, subunit C;",2,1,NA,NA,4,NA,3,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004794 Riboflavin biosynthesis protein RibD;",2,2,NA,1,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004805 DNA polymerase III, alpha subunit;IPR023073 DNA polymerase, error-prone;",1,NA,NA,2,NA,3,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR004808 AP endonuclease 1;",1,3,NA,1,1,NA,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR005065 Platelet-activating factor acetylhydrolase-like;IPR016715 Platelet-activating factor acetylhydrolase, eucaryote;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR005152 Lipase, secreted;",1,1,1,3,NA,NA,2,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR005760 A/G-specific adenine glycosylase MutY;",3,1,1,NA,2,NA,2,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR005848 Urease, alpha subunit;",1,NA,NA,1,NA,NA,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR005959 Fumarylacetoacetase;",1,NA,1,3,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR006101 Glycoside hydrolase, family 2;",1,3,3,1,NA,3,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR006179 5'-Nucleotidase/apyrase;IPR014485 Predicted phosphoesterase, C1039.02 type;",1,NA,NA,1,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR006330 Adenosine/adenine deaminase;IPR028892 Adenine deaminase type 2;",1,1,1,NA,NA,NA,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR006679 Adenine deaminase;",2,1,NA,NA,1,3,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR006710 Glycoside hydrolase, family 43;",3,2,NA,16,11,8,8,4,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR007036 Succinylglutamate desuccinylase/aspartoacylase;",2,1,NA,NA,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR007325 Kynurenine formamidase/cyclase-like;IPR017484 Kynurenine formamidase, bacteria;",1,1,1,1,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR008162 Inorganic pyrophosphatase;",1,1,NA,NA,2,2,2,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR010023 KdsC family;",1,1,2,NA,2,NA,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR010126 Esterase, PHB depolymerase;",1,NA,3,NA,1,3,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR011697 Peptidase C26;",1,NA,NA,NA,2,1,3,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR011907 Ribonuclease III;",1,NA,3,3,1,1,2,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR012710 Phosphonoacetate hydrolase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR016283 Glycoside hydrolase, family 19;",1,NA,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR017782 Hydroxyacylglutathione hydrolase;",1,1,1,NA,NA,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR022892 Ribonuclease HI;",2,1,NA,NA,3,NA,2,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR022956 Beta-hexosaminidase, bacterial;",1,NA,NA,1,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR023019 Histidine biosynthesis bifunctional protein HisIE;",1,NA,NA,NA,NA,2,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR024627 V(D)J recombination-activating protein 1;",3,2,1,1,4,5,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR024884 N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D;",2,NA,NA,NA,NA,1,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR025705 Beta-hexosaminidase;",2,2,NA,NA,3,NA,2,6,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR026660 Phosphoribosyl-AMP cyclohydrolase;",1,NA,NA,2,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR026856 Sialidase family;",1,NA,NA,1,NA,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR032259 Enoyl-CoA hydratase/isomerase,  HIBYL-CoA-H type;",2,3,5,1,2,7,2,2,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016787 hydrolase activity;IPR039298 Acyl-coenzyme A thioesterase 13;",1,2,NA,NA,2,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR000631 ATP-dependent (S)-NAD(P)H-hydrate dehydratase;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR000741 Fructose-bisphosphate aldolase, class-I;",1,NA,NA,1,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR001272 Phosphoenolpyruvate carboxykinase, ATP-utilising;",1,NA,NA,4,NA,2,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR001381 3-dehydroquinate dehydratase type I;",1,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR001533 Pterin 4 alpha carbinolamine dehydratase;",2,1,1,1,7,3,2,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR001731 Delta-aminolevulinic acid dehydratase;",2,NA,2,2,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR001765 Carbonic anhydrase;",2,1,NA,2,1,2,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR002220 DapA-like;",1,NA,3,2,2,4,3,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR002220 DapA-like;IPR005263 4-hydroxy-tetrahydrodipicolinate synthase, DapA;",2,NA,NA,1,3,NA,NA,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR002915 DeoC/FbaB/ lacD aldolase;IPR005927 Tagatose 1,6-diphosphate aldolase;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR002915 DeoC/FbaB/ lacD aldolase;IPR041720 Aldolase FbaB-like, archaeal-type;",1,NA,NA,2,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR003817 Phosphatidylserine decarboxylase-related;IPR033177 Phosphatidylserine decarboxylase;IPR033178 Phosphatidylserine decarboxylase, prokaryotic type 1;",1,NA,1,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR004406 Aconitase B;",2,NA,2,NA,1,2,1,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR004485 Cobalamin biosynthesis CobD/CbiB;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR005593 Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase;",1,NA,NA,1,NA,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR005787 Threonine dehydratase, biosynthetic;",1,NA,NA,NA,2,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR005857 Cystathionine beta-synthase;",1,NA,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR005888 dTDP-glucose 4,6-dehydratase;",2,1,1,2,1,1,4,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR006156 Dihydroneopterin aldolase;",2,NA,NA,1,NA,1,2,1,NA
